Car_name,Battery,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,acceleration..0.100.
NIO ET5 75 kWh,70.5,178,530,59500,395,200,4
Mini Cooper E,37,157,360,NA,235,160,7.3
Genesis GV70 Electrified Sport,74,211,860,67300,350,235,4.2
Mercedes EQB 350 4MATIC,66.5,193,500,58197,345,160,6.2
Peugeot e-3008 73 kWh Dual Motor,73,190,440,NA,385,180,6
Mercedes EQS AMG 53 4MATIC+,108.4,203,800,155009,535,250,3.4
NIO ET5 Touring 75 kWh,70.5,183,520,59500,385,200,4
Mercedes EQE SUV 350 4MATIC,90.6,208,550,89548,435,210,6.6
Audi Q4 Sportback e-tron 55 quattro,77,186,620,61000,415,180,5.4
Skoda Enyaq RS,77,177,650,61050,435,180,5.5
Genesis G80 Electrified Luxury,82.5,188,880,69200,440,225,4.9
CUPRA Born 170 kW - 58 kWh,58,168,460,40750,345,160,6.6
Porsche Taycan,71,169,1030,93139,420,230,5.4
Mercedes EQS SUV 500 4MATIC,108.4,221,730,124545,490,210,5.2
Peugeot e-208 50 kWh,46.3,160,460,NA,290,150,9
e.Go e.wave X,27,180,NA,24990,150,135,12
Mercedes EQT 200 Standard,45,200,230,49445,225,132,12.6
Ford Mustang Mach-E SR AWD,72.6,207,430,NA,350,180,6.2
Lexus UX 300e,64,188,170,NA,340,160,7.5
Mercedes EQS 500 4MATIC,108.4,184,880,125378,590,210,4.8
Porsche Taycan 4S Plus,83.7,174,1180,120081,480,250,4
Mercedes EQE 500 4MATIC,90.6,179,750,88215,505,210,4.7
Porsche Taycan 4 Cross Turismo,83.7,190,1080,103254,440,220,5.1
Elaris BEO 86 kWh,81,208,290,53090,390,150,8
Mercedes EQS SUV 450 4MATIC,108.4,221,730,114609,490,210,6
Nissan Ariya e-4ORCE 87kWh - 290 kW,87,215,480,71490,405,200,5.1
Opel Vivaro-e Combi M 75 kWh,68,257,290,56942,265,130,13.3
Audi Q4 Sportback e-tron 50 quattro,76.6,192,570,NA,400,180,6.2
ORA Funky Cat GT,59.3,180,230,49490,330,160,8.2
Mercedes EQE SUV 300,90.6,201,570,83479,450,210,7.6
Audi SQ8 e-tron Sportback,106,221,610,98050,480,210,4.5
Audi Q4 Sportback e-tron 45 quattro,77,186,620,56950,415,180,6.6
XPENG P7 AWD Performance,82.7,180,640,NA,460,200,4.1
Smart #1 Pulse,62,194,490,46490,320,180,3.9
Toyota Proace City Verso Electric L1 50 kWh,46.3,220,330,37800,210,135,11.2
Skoda Enyaq Coupe 60,58,163,480,NA,355,160,8.8
Fiat 500e Cabrio 42 kWh,37.3,162,380,37990,230,150,9
Mercedes EQE SUV AMG 43 4MATIC,90.6,218,620,124920,415,210,4.3
Toyota PROACE Verso M 75 kWh,68,257,290,64530,265,130,13.1
Toyota Proace City Verso Electric L2 50 kWh,46.3,226,330,40150,205,135,11.2
Porsche Taycan 4S,71,171,1020,114559,415,250,4
VinFast VF 8 Eco Extended Range,87.7,206,550,52990,425,200,5.9
Mercedes EQE AMG 43 4MATIC,90.6,195,690,104756,465,210,4.2
Mercedes EQA 300 4MATIC,66.5,187,510,53520,355,160,7.7
Fiat 500e 3+1 24 kWh,21.3,158,230,NA,135,135,9
Citroen e-SpaceTourer M 50 kWh,46.3,250,290,53640,185,130,12.1
Abarth 500e Hatchback,37.8,168,370,37990,225,155,7
Mercedes EQE SUV AMG 53 4MATIC+,90.6,221,610,139438,410,240,3.5
Opel Zafira-e Life L 75 kWh,68,262,280,70075,260,130,13.3
Aiways U6,60,171,430,47588,350,160,7
Toyota PROACE Verso L 75 kWh,68,262,280,65385,260,130,13.1
NIO EL6 75 kWh,70.5,201,470,65500,350,200,4.5
Kia e-Soul 39.2 kWh,39.2,170,200,NA,230,157,9.9
Opel Combo-e Life 50 kWh,46.3,226,330,43050,205,135,11.7
Citroen e-Jumpy Combi M 75 kWh,68,257,290,57940,265,130,13.3
Mercedes EQE AMG 53 4MATIC+,90.6,195,690,110706,465,220,3.5
Mercedes eVito Tourer Extra-Long 90 kWh,90,295,310,65140,305,160,12
Porsche Taycan Turbo,83.7,188,1090,164420,445,260,3.2
Peugeot e-Expert Combi Standard 75 kWh,68,257,290,57940,265,130,14.3
Peugeot e-Rifter Standard 50 kWh,46.3,226,330,41240,205,135,11.7
Peugeot e-Traveller Long 75 kWh,68,262,280,60430,260,130,14.3
